skill1,skill2,correlation,p_value,abs_correlation
tensorflow,pytorch,0.9071837430990591,4.94037429857316e-198,0.9071837430990591
pytorch,tensorflow,0.9071837430990591,4.94037429857316e-198,0.9071837430990591
matplotlib,plotly,0.8935650923022446,2.3926785778947935e-183,0.8935650923022446
plotly,matplotlib,0.8935650923022446,2.3926785778947935e-183,0.8935650923022446
postgresql,mysql,0.7186410445203264,3.04922522295139e-84,0.7186410445203264
mysql,postgresql,0.7186410445203264,3.04922522295139e-84,0.7186410445203264
tableau,looker,0.6752702536350326,6.893831541732021e-71,0.6752702536350326
looker,tableau,0.6752702536350326,6.893831541732021e-71,0.6752702536350326
redis,mongodb,0.5863452950538363,1.2923693865903544e-49,0.5863452950538363
mongodb,redis,0.5863452950538363,1.2923693865903544e-49,0.5863452950538363
scikit-learn,tensorflow,0.5331232900444078,9.647697491950105e-40,0.5331232900444078
tensorflow,scikit-learn,0.5331232900444078,9.647697491950105e-40,0.5331232900444078
elt,etl,0.5294482875371653,4.007876558624379e-39,0.5294482875371653
etl,elt,0.5294482875371653,4.007876558624379e-39,0.5294482875371653
azure,aws,0.5212421757071594,9.055972334791971e-38,0.5212421757071594
aws,azure,0.5212421757071594,9.055972334791971e-38,0.5212421757071594
dynamodb,mongodb,0.5146098432414884,1.0582966138745385e-36,0.5146098432414884
mongodb,dynamodb,0.5146098432414884,1.0582966138745385e-36,0.5146098432414884
aws,gcp,0.5126112442721802,2.196658162012153e-36,0.5126112442721802
gcp,aws,0.5126112442721802,2.196658162012153e-36,0.5126112442721802
plotly,seaborn,0.4985611480960028,3.259133587167123e-34,0.4985611480960028
seaborn,plotly,0.4985611480960028,3.259133587167123e-34,0.4985611480960028
sas,spss,0.4980806142034548,3.851201749060782e-34,0.4980806142034548
spss,sas,0.4980806142034548,3.851201749060782e-34,0.4980806142034548
scikit-learn,pytorch,0.4928266344564481,2.348344151622371e-33,0.4928266344564481
pytorch,scikit-learn,0.4928266344564481,2.348344151622371e-33,0.4928266344564481
snowflake,dbt,0.488465036217262,1.0287393406154223e-32,0.488465036217262
dbt,snowflake,0.488465036217262,1.0287393406154223e-32,0.488465036217262
hadoop,hive,0.4829414715708963,6.480789964134354e-32,0.4829414715708963
hive,hadoop,0.4829414715708963,6.480789964134354e-32,0.4829414715708963
redshift,bigquery,0.48128073090758977,1.1197550136125302e-31,0.48128073090758977
bigquery,redshift,0.48128073090758977,1.1197550136125302e-31,0.48128073090758977
tableau,powerbi,0.4720054453395271,2.2484777342423062e-30,0.4720054453395271
powerbi,tableau,0.4720054453395271,2.2484777342423062e-30,0.4720054453395271
plotly,elt,0.46500299835820896,2.0387138385761934e-29,0.46500299835820896
elt,plotly,0.46500299835820896,2.0387138385761934e-29,0.46500299835820896
azure,gcp,0.4634952132629873,3.2556822330344974e-29,0.4634952132629873
gcp,azure,0.4634952132629873,3.2556822330344974e-29,0.4634952132629873
computervision,naturallanguageprocessing,0.46271811061784685,4.140184728254303e-29,0.46271811061784685
naturallanguageprocessing,computervision,0.46271811061784685,4.140184728254303e-29,0.46271811061784685
dynamodb,redis,0.4616385198349609,5.775410600853015e-29,0.4616385198349609
redis,dynamodb,0.4616385198349609,5.775410600853015e-29,0.4616385198349609
deeplearning,naturallanguageprocessing,0.4585039511909198,1.5080300338106277e-28,0.4585039511909198
naturallanguageprocessing,deeplearning,0.4585039511909198,1.5080300338106277e-28,0.4585039511909198
datalake,plotly,0.44598971756255607,6.3115306399714184e-27,0.44598971756255607
plotly,datalake,0.44598971756255607,6.3115306399714184e-27,0.44598971756255607
matplotlib,seaborn,0.44549683831671794,7.288568144730671e-27,0.44549683831671794
seaborn,matplotlib,0.44549683831671794,7.288568144730671e-27,0.44549683831671794
kafka,spark,0.4390926880070238,4.6302277858034543e-26,0.4390926880070238
spark,kafka,0.4390926880070238,4.6302277858034543e-26,0.4390926880070238
datamodeling,etl,0.4366053653499166,9.394879892449297e-26,0.4366053653499166
etl,datamodeling,0.4366053653499166,9.394879892449297e-26,0.4366053653499166
airflow,etl,0.4360545021329233,1.0980016870029833e-25,0.4360545021329233
etl,airflow,0.4360545021329233,1.0980016870029833e-25,0.4360545021329233
keras,scikit-learn,0.4352537223285886,1.3766178482282183e-25,0.4352537223285886
scikit-learn,keras,0.4352537223285886,1.3766178482282183e-25,0.4352537223285886
kubernetes,docker,0.43336980568166433,2.3379436296472805e-25,0.43336980568166433
docker,kubernetes,0.43336980568166433,2.3379436296472805e-25,0.43336980568166433
airflow,spark,0.4276682418417998,1.1382740291153472e-24,0.4276682418417998
spark,airflow,0.4276682418417998,1.1382740291153472e-24,0.4276682418417998
