company,title,location,url,description,skills,source
Spotify,"Associate Director, Music Policy, Spotify for Artists","New York, NY",https://jobs.lever.co/spotify/26eaf7c8-6c56-43b9-8565-7ce90b2f6983,"We are looking for a creative, analytical, and passionate strategist to join the Spotify for Artists Marketing & Policy team — part of Spotify’s division dedicated to helping to ensure Spotify is the most rewarding and powerful platform for artists to grow their careers and their business. This role is a critical leader on our team, managing our small and mighty policy team and positively impacting millions of artists around the world.

The Spotify for Artists policy team focuses on developing and implementing policies that further our mission to provide a fair and equitable opportunity for artists, songwriters, distributors, labels, and publishers on Spotify — as well as educating the music industry about our platform rules. The role will work heavily in collaboration with our tech and product teams to build policy solutions. The scope of policies include how Spotify’s $10 billion+ annual royalty pool is allocated, tactics to remove incentives for bad actors, and strategies to future proof our platform for new trends or technologies in the music industry, like AI. In communicating these policies publicly, our focus is to educate artists and the music industry at scale, so everyone has equal access to information and resources.

In this role, you’ll work with a cross-functional team from Licensing, Marketing, Public Affairs, Product, Engineering, Music Partnerships, Music Economics, and more in leading policy initiatives for the Spotify for Artists team — from the strategy, development, and implementation of new policies, to public messaging and education, to industry advocacy and engagement.
",,lever
Spotify,Agency Partner Japan (6-Month Contract),Tokyo,https://jobs.lever.co/spotify/0068db6b-96bf-4ddf-97e9-d903255e1743,"Sell what you love. For us and millions of users across the globe, that’s Spotify. Join the Sales team and you’ll build the relationships that help grow our business in existing markets and beyond. We don’t just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. 


This team consists of experts in digital media and represents Spotify Advertising to key agency partners. We engage and nurture relationships with partners for the continuous evolution and growth of the value exchange. We are responsible for the end-to-end sales activities for agencies we look after. We have also become the internal facilitator for Spotify's cross-functional work to develop deeper collaboration with partner agencies. We are the growth engine of Spotify Advertising in Japan.
",,lever
Spotify,Backend Engineer - Subscriptions,Stockholm,https://jobs.lever.co/spotify/d652de00-8a88-4d43-ae25-7ab015b1c5fa,"The Subscriptions R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify. 

We're seeking a thoughtful backend Engineer to become part of a truly collaborative team. You'll work alongside engineers within your team, but also from teams across Spotify, all driving towards shared goals. Our current focus is a massive undertaking: launching and scaling the new version of Spotify's free product. Your role spans the full spectrum – from hands-on development and real-world experimentation within our team, to partnering with engineers across the company on cross-team collaborations. This is a fantastic environment to grow your backend development skills while working alongside experienced engineers on a high-impact product. There’s plenty of opportunity to take ownership and practice leadership. The features and functionality you build with us will reach millions of users every day.
",r,lever
Spotify,"Associate Client Partner, Emerging & Scaled (Growth)","New York, NY",https://jobs.lever.co/spotify/7cb3cb48-e917-4e23-b2ae-08b539691223,"Sell what you love. For us and millions of users across the globe, that’s Spotify. Join the Sales team and you’ll build the relationships that help grow our business in existing markets and beyond. We don’t just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. 


We are seeking an outstanding Associate Client Partner to join our Emerging & Scaled Sales team, a fast-growing unit within the Spotify ad sales organization. We want someone who loves our product and wakes up every morning happy to interact with our clients. This role includes strategic planning, expert product knowledge, storytelling, and client communication.

You should be confident while staying humble. You work hard, but appreciate a healthy life balance. Your work will impact the way we connect with Spotify advertisers and users, and will shape the way the world experiences Spotify, so operating with integrity, speed, and passion is invaluable.
",,lever
Spotify,Client Partner - CPG,"New York, NY",https://jobs.lever.co/spotify/61c86fb8-ecb3-4499-a519-4eb7e31c6663,"Sell what you love. For us and millions of users across the globe, that’s Spotify. Join the Sales team and you’ll build the relationships that help grow our business in existing markets and beyond. We don’t just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. 


We are looking for an outstanding Client Partner to join our Enterprise Sales Team within CPG Vertical! This Client Partner will be an individual contributor responsible for the growth of key accounts. Our new Client Partner is someone with a true love for Spotify and a drive to produce creative and innovative solutions for our key clients and partners.

You should be confident while staying humble, you work hard, and know how to have fun! Above all, your work will impact the way the world experiences music and podcasts on Spotify.
",,lever
Spotify,"Client Partner, Emerging & Scaled",Mexico City,https://jobs.lever.co/spotify/88b4dcfd-3f68-4ce7-b7f5-49ddb5dbe242,"Sell what you love. For us and millions of users across the globe, that’s Spotify. Join the Sales team and you’ll build the relationships that help grow our business in existing markets and beyond. We don’t just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. 


We are seeking an outstanding Client Partner to join our Emerging and Scaled Sales team, a fast-growing unit within the Spotify ad sales organization. We want someone who loves our product and wakes up every morning happy to interact with our clients. This role includes strategic planning, expert product knowledge, storytelling, and client communication.

You should be confident while staying humble. You work hard, but appreciate a healthy life balance. Your work will impact the way we connect with Spotify advertisers and users, and will shape the way the world experiences Spotify, so operating with integrity, speed, and passion is invaluable.
",,lever
Spotify,Backend Engineer - Subscriptions,London,https://jobs.lever.co/spotify/21f83b43-7702-44e2-b19b-be265bfad890,"We’re building the future of how millions of users experience our free and premium products, and we’re looking for a Backend Engineer to join us on that journey.

Our team is at the heart of defining what makes each tier, free, mid-tier, and premium, unique. We develop the core systems that power product features across plans, providing the central source of truth for everything from pricing and discounts to feature availability. From APIs and datasets used by teams across the company to systems that manage feature access (like audiobook consumption or on-demand playback), our work shapes the foundation of the user experience.

As a new and fast-moving team, we balance exploration with hands-on implementation, offering plenty of opportunities to take ownership and drive initiatives of all sizes. Collaboration is key to our culture—we partner closely with other teams, ensuring they have the tools and systems they need to succeed.
",,lever
Spotify,"Annotations QA Analyst, Content Platform",Dublin,https://jobs.lever.co/spotify/6a242308-fcd0-49fe-91c0-e31d68838c4d,"To power the best audio network in the world by enabling creators and content distributors to deliver their content frictionlessly and equip Spotify teams with the richest possible catalog. That’s what the Content Platform team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users worldwide, bringing the music and audio they love to the devices, apps and platforms they use every day.

The Annotation Platform Ops team works alongside Product and Engineering teams at the heart of the Content Platform R&D studio to develop rich and interconnected datasets to enable delightful consumer experiences through a fusion of machine and human expertise. We focus on use cases across all of Spotify’s verticals - Music, Podcasts, and Audiobooks, with an emphasis on the safety and moderation of our catalogs in accordance with Spotify policies.

We are seeking an Annotation QA Analyst to contribute their human expert knowledge to the wide collection of labeled datasets that Content Platform teams use to train, evaluate, and better understand machine learning models and systems. This is an exciting opportunity to work at the center of ML and AI-driven development. 
","r, machine learning",lever
Spotify,C++ Engineer - Platforms & Partner Experience,Stockholm,https://jobs.lever.co/spotify/50ff45ad-f3f0-4ee9-9a70-034a031e6804,"We are searching for a C++ Software Engineer to work on a codebase that reaches millions of users every day, contributing to the development of deeply coordinated and high-performance native Spotify experiences across both the macOS and Windows .If you’re passionate about native development, platform integrations, and impactful engineering, we want to hear from you.

This position sits within Platforms & Partner Experience org, that builds and maintains the native layer of our Desktop app across Windows, macOS, and Linux. This includes everything outside of the UI layer (shared with Web Player), from how the app is packaged and delivered to how it integrates with operating systems and external partners. 

We own: CI and build configurations for packaging the application; Multiple backend services supporting content delivery, update infrastructure, and release tooling OS-specific features like Microsoft Game Bar integration, Live Tiles, and Dashboard Widgets. The desktop shell: a native C++ container integrating Client-Core, Chromium Embedded Framework (CEF), and Spotify’s Web Player.

We work at the intersection of systems engineering, performance, and user experience, making Spotify feel truly native and flawless across desktop platforms.
","linux, shell",lever
Spotify,Annotation QA Analyst - Content Platform,"New York, NY",https://jobs.lever.co/spotify/800754f6-1be8-4b47-8494-a7e25b686698,"To power the best audio network in the world by enabling creators and content distributors to deliver their content frictionlessly and equip Spotify teams with the richest possible catalog. That’s what the Content Platform team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users worldwide, bringing the music and audio they love to the devices, apps and platforms they use every day.

The Annotation Platform Ops team works alongside Product and Engineering teams at the heart of the Content Platform R&D studio to develop rich and interconnected datasets to enable delightful consumer experiences through a fusion of machine and human expertise. We focus on use cases across all of Spotify’s verticals - Music, Podcasts, and Audiobooks, with an emphasis on the safety and moderation of our catalogs in accordance with Spotify policies.

We are seeking an Annotation QA Analyst to contribute their human expert knowledge to the wide collection of labeled datasets that Content Platform teams use to train, evaluate, and better understand machine learning models and systems. This is an exciting opportunity to work at the center of ML and AI-driven development. 
","r, machine learning",lever
