title,company,city,country,location,skills,type,salary,salary_min,salary_max,published,ai
Data Scientist,NielsenIQ,"Chicago, IL",USA,"Chicago, IL, USA","Machine Learning,Python,NLP,Cloud,AWS,GCP,Data Science,Computer Vision,DataBricks,Jupyter,Azure Databricks,Computer Science,Product Development,Reliability,Project Management,Statistics,Mathematics,Jira,Airflow,Confluence",Full Time,"$73,500-$110,000 annually",73500,110000,2025-02-26T22:27:28.834Z,True
"Sr. Manager, Data Science",Visa,"Washington, DC",USA,"Washington, DC, USA","Machine Learning,SQL,Hadoop,ML Ops,Data Science,Data Engineer,Product Development,MBA,Distributed Systems,Statistics",Full Time,"$157,100-$227,900 annually",157100,227900,2025-02-26T22:27:15.911Z,True
AI Prompt Engineer - (MS Copilot AI) - 6 month contract ,Sia,Calgary,Canada,"Calgary, Canada","Python,SQL,NLP,LLMs,Prompt Engineering,Scripting,Data Science,Automation,Transformation",Full Time,,0,0,2025-02-26T22:26:50.705Z,True
Internship Data Scientist/AI ,Sopra Steria,,Luxembourg,", Luxembourg","Machine Learning,Python,SQL,R,Data Science,IOS,Security,Transformation,Statistics",Full Time,,0,0,2025-02-26T22:20:10.508Z,True
Senior Data Scientist (R&D AI Engineering),IFS,Colombo,Sri Lanka,"Colombo, Sri Lanka","Machine Learning,Testing,Python,Generative AI,ML Ops,Cloud,Prompt Engineering,Langchain,Kubernetes,Docker,KubeFlow,Devops,Data Science,Data Engineer,MLFlow,Flair,RAG,Infrastructure,Deployment,SME,Statistics,Airflow",Full Time,,0,0,2025-02-26T22:19:31.612Z,True
Lead Data Scientist (R&D AI Engineering),IFS,Colombo,Sri Lanka,"Colombo, Sri Lanka","Machine Learning,Testing,Python,Generative AI,ML Ops,Cloud,Prompt Engineering,Langchain,Kubernetes,Docker,KubeFlow,Devops,Data Science,Data Engineer,MLFlow,Flair,RAG,Infrastructure,Deployment,SME,Statistics,Airflow",Full Time,,0,0,2025-02-26T22:19:28.577Z,True
Data Engineer - AI and Data,Deloitte,Johannesburg,South Africa,"Johannesburg, South Africa","Python,Hadoop,Cloud,Kafka,Objective-C,Perl,Data Science,Data Engineer,Big Data,Database,Hive,Architecture,Automation,Transformation,Code Reviews,NOSQL,Gaming,Unix,SQL Server",Full Time,,0,0,2025-02-26T22:18:49.39Z,True
AI Expert (CX),Alter Solutions,Warsaw,Poland,"Warsaw, Poland","Python,Data Science,Research","Remote,Freelancer",,0,0,2025-02-26T22:18:46.267Z,True
Technical Product Manager - RTP Risk Advanced Analytics (AI/ML/Fraud Prevention),Visa,Warsaw,Poland,"Warsaw, Poland","Machine Learning,Agile,Data Science,Data Engineer,Deep Learning,Research,Infrastructure,Product Management,Product Development,MBA,UX",Full Time,,0,0,2025-02-26T22:18:32.014Z,True
Gen AI Developer with Azure Stack and Lang chain experience is Mandatory,Syncreon Consulting,Toronto,Canada,"Toronto, Canada","Machine Learning,Full Stack,Python,SQL,NLP,Transformers,JavaScript,CSS,HTML,Feature Engineering,API,CICD,Scripting,Kubernetes,Rest,Azure,React,Data Science,Neural networks,Research,Computer Science,Security,Infrastructure,Product Development,NOSQL",Full Time,,0,0,2025-02-26T22:18:05.042Z,True
